Id,SalePrice
1461,126582.55438954521
1462,222535.0582035237
1463,173730.07176695243
1464,179468.7671134257
1465,194364.02284075605
1466,167774.25793058862
1467,188224.4425305225
1468,163105.07336514723
1469,168311.36686610122
1470,141313.01644445074
1471,194915.7732052338
1472,119614.04151605489
1473,123158.786023892
1474,147904.936357846
1475,111531.27832423475
1476,260850.83116565127
1477,213003.10968937888
1478,237810.4685713124
1479,224076.36308740184
1480,369615.7332832557
1481,262890.9821958166
1482,190387.58806429588
1483,168249.48500053736
1484,170515.12120447584
1485,161128.783457984
1486,175329.01183138485
1487,259231.4237437218
1488,205990.43530127796
1489,177154.69441772887
1490,195272.59413174712
1491,182834.3559327435
1492,107221.38028856541
1493,189080.90070801773
1494,247646.34586057626
1495,241340.15519817205
1496,194247.96740059744
1497,169732.77830963416
1498,155490.6628241613
1499,150590.52101588712
1500,153341.8911524383
1501,173285.38902845548
1502,149351.7946699353
1503,215953.86805469153
1504,197097.47616248502
1505,192705.52828679132
1506,192232.0590504087
1507,233804.2779156653
1508,215121.8831500601
1509,169970.5581871334
1510,155619.10795660288
1511,155856.65719249033
1512,178568.7296049956
1513,156061.17810650714
1514,189205.58595815764
1515,195226.52460413505
1516,167411.21218254033
1517,165089.90066002466
1518,157013.32792141798
1519,204503.4561967384
1520,141650.12545452584
1521,134280.50415826315
1522,174075.09491343374
1523,120288.29520889724
1524,134972.2610877022
1525,135429.2025736299
1526,130436.64524611956
1527,132833.52285157522
1528,168689.8852612299
1529,143384.5038337469
1530,185966.43172601744
1531,143094.60445321686
1532,127617.495379192
1533,157612.76754358676
1534,142203.03685469722
1535,170183.2033516597
1536,135095.04666634896
1537,118841.8289283286
1538,179892.20296504395
1539,202653.48021227558
1540,206958.83503773645
1541,155986.95035641678
1542,143791.2879653638
1543,179645.37234971693
1544,105866.75211994929
1545,121870.23263441515
1546,136013.0767667442
1547,134027.1249071776
1548,137608.86699082164
1549,128625.03805791217
1550,139411.94412546023
1551,144254.818850898
1552,165352.6928309759
1553,161319.31134478463
1554,145223.743000896
1555,180285.65989854027
1556,121473.88080370681
1557,128515.50673063811
1558,106325.88608477337
1559,101157.73831149771
1560,149618.82624202513
1561,175592.6317602856
1562,142061.60208568757
1563,127865.63148071544
1564,167532.36291140653
1565,162203.33043872038
1566,205183.26900278422
1567,105692.95147867953
1568,226602.46255285232
1569,168712.5849219787
1570,158731.6005710097
1571,150804.85062142718
1572,174649.266462209
1573,183994.56526711388
1574,158023.23605949912
1575,187264.2147209203
1576,223881.39529265027
1577,173389.77993634474
1578,163070.14498418887
1579,163655.2804035727
1580,191144.79580259617
1581,171831.15277514767
1582,146808.74747586605
1583,258790.59689601354
1584,208519.00557908302
1585,147683.98454973934
1586,104414.74756369073
1587,129723.80659605446
1588,163264.27973484993
1589,141169.5481845866
1590,153398.05553176405
1591,126730.43982576596
1592,139479.99603840872
1593,128942.86395682747
1594,175327.98158162145
1595,124478.01272850943
1596,209039.33932017998
1597,197494.98225314042
1598,185869.8774305326
1599,141422.86592328438
1600,147468.24831506592
1601,96288.89113221725
1602,134514.6332519236
1603,132753.4272605032
1604,226354.1246351598
1605,218687.3156748572
1606,176525.54850208963
1607,197614.30116433976
1608,211223.3134037804
1609,179601.33591351495
1610,168616.4947931762
1611,151563.5139696774
1612,172408.5488906553
1613,178989.09688731446
1614,132446.5425785121
1615,116496.49595493714
1616,108449.43335820836
1617,122554.72809779938
1618,138832.06645381122
1619,152661.6661487475
1620,138336.37779523688
1621,147288.98245401052
1622,159219.27966739616
1623,241485.79351785866
1624,209806.73755458143
1625,129920.42940179839
1626,173907.03170932975
1627,184977.21011228708
1628,228048.08528592682
1629,163296.10384208054
1630,299060.84922536166
1631,207243.76254472067
1632,214789.58977734874
1633,146874.1556346418
1634,179582.02985796295
1635,167344.84507687888
1636,154749.27285522353
1637,201401.40896110708
1638,198898.7890951517
1639,184836.6432469214
1640,235308.68816889805
1641,193528.1676898824
1642,190088.17700125586
1643,204549.96679729232
1644,196564.56094774313
1645,223406.29905784805
1646,170436.59622644584
1647,163802.81647992524
1648,135031.03387005947
1649,151276.56030995282
1650,144618.63873135825
1651,142082.64060660647
1652,127900.31987750696
